DOCNUM;ARTIFACT;MODE;RESULT;TARGET;MESSAGE
0000000117698545;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698545_STAT.json;Frontend export completed.
0000000117698545;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698545_CTRL.json;Frontend export completed.
0000000117698545;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698545_CONTENT.xml;Frontend export completed.
0000000117698545;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000004 registered.
0000000117698553;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698553_STAT.json;Frontend export completed.
0000000117698553;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698553_CTRL.json;Frontend export completed.
0000000117698553;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698553_CONTENT.xml;Frontend export completed.
0000000117698553;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698558;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698558_STAT.json;Frontend export completed.
0000000117698558;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698558_CTRL.json;Frontend export completed.
0000000117698558;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698558_CONTENT.xml;Frontend export completed.
0000000117698558;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698561;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698561_STAT.json;Frontend export completed.
0000000117698561;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698561_CTRL.json;Frontend export completed.
0000000117698561;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698561_CONTENT.xml;Frontend export completed.
0000000117698561;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698564;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698564_STAT.json;Frontend export completed.
0000000117698564;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698564_CTRL.json;Frontend export completed.
0000000117698564;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698564_CONTENT.xml;Frontend export completed.
0000000117698564;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698567;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698567_STAT.json;Frontend export completed.
